"","Species","Subspecies","TrueName","ShortName6","ShortName8","Sensitivity","Strata","Habitat","SimpleHab","SimpleStrata"
"207","Urochroa bougueri",NA,"Urochroa bougueri","UROBOU","UROCBOUG","H","U/M","F4","F","U"
"208","Patagona gigas",NA,"Patagona gigas","PATGIG","PATAGIGA","L","U/C","N2","N","C"
"209","Aglaeactis aliciae",NA,"Aglaeactis aliciae","AGLALI","AGLAALIC","M","U/C","N3","N","C"
"210","Aglaeactive castelnaudii",NA,"Aglaeactis castelnaudii","AGLCAS","AGLACAST","M","U/C","N3,F5","N","C"
"211","Aglaeactis cupripennus",NA,"Aglaeactis cupripennis","AGLCUP","AGLACUPR","M","U/C","N3,F6,F5","N","C"
"212","Aglaeactis pamela",NA,"Aglaeactis pamela","AGLPAM","AGLAPAME","M","U/C","N3,F5","N","C"
"213","Lafresnaya lafresnayi",NA,"Lafresnaya lafresnayi","LAFLAF","LAFRLAFR","M","U","F4,F15","F","U"
"214","Pterophanes cyanopterus",NA,"Pterophanes cyanopterus","PTECYA","PTERCYAN","M","U/M","F5,F4E","F","U"
"215","Coeligena bonapartei",NA,"Coeligena bonapartei","COEBON","COELBONA","M","U/M","F4,F5","F","U"
"216","Coeligena coeligena",NA,"Coeligena coeligena","COECOE","COELCOEL","H","U/M","F4","F","U"
"217","Coeligena helianthea",NA,"Coeligena helianthea","COEHEL","COELHELI","L","U/C","F4,F5,N3","N","C"
"218","Coeligena iris",NA,"Coeligena iris","COEIRI","COELIRIS","L","U/M","F4,F5,F15,N3","N","U"
"219","Coeligena lutetiae",NA,"Coeligena lutetiae","COELUT","COELLUTE","M","U/M","F5,F4","F","U"
"220","Coeligena phalerata",NA,"Coeligena phalerata","COEPHA","COELPHAL","M","U/C","F4,F5","F",NA
"221","Coeligena prunellei",NA,"Coeligena prunellei","COEPRU","COELPRUN","H","M/C","F4","F","C"
"222","Coeligena torquata",NA,"Coeligena torquata","COETOR","COELTORQ","M","U/C","F4","F","U"
"223","Coeligena violifer",NA,"Coeligena violifer","COEVIO","COELVIOL","M","U/M","F4,F5","F","U"
"224","Coeligena wilsoni",NA,"Coeligena wilsoni","COEWIL","COELWILS","H","U","F4","F","U"
"225","Ensifera ensifera",NA,"Ensifera ensifera","ENSENS","ENSIENSI","M","U/C","F4,F5","F","U"
"226","Sephanoides fernandensis",NA,"Sephanoides fernandensis","SEPFER","SEPHFERN","M","U/M","N3","N","U"
"227","Sephanoides sephanoides",NA,"Sephanoides sephaniodes","SEPSEP","SEPHSEPH","L","U/M","N14,F9,N3,F15?","N","U"
"228","Boissonneaua flavescens",NA,"Boissonneaua flavescens","BOIFLA","BOISFLAV","L","M/C","F4,F5,F15","F","C"
"229","Boissonneaua jardini",NA,"Boissonneaua jardini","BOIJAR","BOISJARD","L?","M","F4,F15","F",NA
"230","Boissonneaua matthewsii",NA,"Boissonneaua matthewsii","BOIMAT","BOISMATT","L","M/C","F4,F15","F","C"
"231","Heliangelus amethysticollis",NA,"Heliangelus amethysticollis","HELAME","HELIAMET","M","U/M","F4,F15","F","U"
"232","Heliangelus exortis","exortis","Heliangelus exortis","HELEXO","HELIEXOR","M","U/M","F4,F15","F","U"
"233","Heliangelus exortis","micrastur","Heliangelus micraster","HELMIC","HELIMICR","M","U/M","F4","F","U"
"234","Heliangelus mavors",NA,"Heliangelus mavors","HELMAV","HELIMAVO","M","U/M","F4,F5,F15","F","U"
"235","Heliangelus regalis",NA,"Heliangelus regalis","HELREG","HELIREGA","H","U","F5","F","U"
"236","Heliangelus spencei",NA,"Heliangelus exortis","HELSPE","HELISPEN","M","U/M","F4,F5","F","U"
"237","Heliangelus strophianus",NA,"Heliangelus strophianus","HELSTR","HELISTRO","M","U/M","F4,F15","F","U"
"238","Heliangelus viola",NA,"Heliangelus viola","HELVIO","HELIVIOL","M","U/M","F4,F15","F","U"
"239","Heliangelus zusii",NA,"Heliangelus zusii","HELZUS","HELIZUSI","H?","?","F4?","F",NA
"240","Eriocnemis alinae",NA,"Eriocnemis alinae","ERIALI","ERIOALIN","M","U/M","F4,F15","F","U"
