B1,B2,B3,S1.UV,S1.violet,S1.blue,S1.green,S1.yellow,S1.red,S2,S3,S4,S5,S6,S7,S8,S9,S10,H1,H2,H3,H4,H5,u,s,m,l,u.r,s.r,m.r,l.r,x,y,z,h.theta,h.phi,r.vec,r.max,r.achieved,Type,Species,Exp,SpeciesType
11384.5147718378,28.3903111517,61.5784862115,0.1908744302,0.2099490042,0.2765118068,0.3991523282,0.21982392,0.1416987408,4.3091567268,0.468821622,0.8654881557,2950.3778507565,47.2883384828,-0.1565433123,1.6656505887,0.2281639528,1.441600856,527,581,578,-1.2729476209,481,0.1659457071,0.2381176552,0.4277240736,0.1682125642,-0.0840542929,-0.0118823448,0.1777240736,-0.0817874358,-0.0428079508,0.1587871662,-0.0840542929,1.8341290254,-0.4724913181,0.1846916591,0.5493225056,0.3362171716,Directionnel,HELBAR,irid,HELBAR_Directionnel
97684.218626308,243.601542709,755.1194993047,0.1714551108,0.1817778976,0.1758027884,0.6016945761,0.3579382033,0.0597814575,36.9601709053,0.6344466786,15.3105788736,45455.1051798842,734.6888713933,-0.3087867039,3.0159450684,0.7754906916,46.1758648485,549,593,499,-1.4549806612,506,0.1294676109,0.128408202,0.5701964394,0.1719277476,-0.1205323891,-0.121591798,0.3201964394,-0.0780722524,0.0266501701,0.2970049756,-0.1205323891,1.481306278,-0.3841237249,0.3216368199,0.6613045149,0.4863671919,Directionnel,HELBAR,irid,HELBAR_Directionnel
301821.348663081,752.6716924266,2655.4939710258,0.0827643817,0.0901373707,0.1708532499,0.6696285706,0.4105514193,0.0857010963,22.7424031634,0.6950382252,55.3158502398,186808.6761524,2538.7299706718,-0.3631955278,3.3729579526,-0.1005826139,186.5780369715,555,593,503,-1.5386246945,506,0.0654188441,0.1230600526,0.6164104525,0.1951106508,-0.1845811559,-0.1269399474,0.3664104525,-0.0548893492,0.0441218003,0.32337768,-0.1845811559,1.4351931897,-0.5147044071,0.3749534108,0.5078435675,0.7383246234,Directionnel,HELBAR,irid,HELBAR_Directionnel
89544.4124882841,223.302774285,712.2066386748,0.1489106772,0.1583674127,0.1604204561,0.6260327546,0.3939262529,0.0735359724,34.980375333,0.6500845408,14.2612679671,45082.1211975766,691.8464615213,-0.3031236716,3.0982439145,0.4447310912,44.1848866923,554,594,503,-1.5211148178,506,0.1105425618,0.1154482495,0.5747640623,0.1992451264,-0.1394574382,-0.1345517505,0.3247640623,-0.0507548736,0.0513148976,0.295158656,-0.1394574382,1.398661558,-0.4356689588,0.3304545778,0.5923932456,0.5578297529,Directionnel,HELBAR,MAX,HELBAR_Directionnel
22784.158286611,56.8183498419,91.5925928076,0.1618884628,0.180298041,0.2535594354,0.3111208951,0.1984321383,0.280680094,3.3524038626,0.3610415018,0.928895824,4406.1272165739,64.2711254183,-0.1063709658,1.1311684623,-0.498507307,1.0507376608,517,580,634,1.1640637134,469,0.1491658149,0.2456358083,0.3571513926,0.2480469842,-0.1008341851,-0.0043641917,0.1071513926,-0.0019530158,0.0014765376,0.0780009465,-0.1008341851,1.5518688475,-0.9123019833,0.1274906299,0.3160898006,0.4033367404,Directionnel,HELBAR,MIN,HELBAR_Directionnel
12659.4288630255,31.5696480375,74.4135984122,0.167609151,0.1905503344,0.223680003,0.2107280415,0.1839849921,0.4043585371,3.962126907,0.2548473573,0.3244673668,2831.4429842294,55.6323730354,-0.2462511419,1.7622107465,-0.673962756,0.5717798807,700,300,637,0.2461198068,619,0.1764785815,0.2371953651,0.2400580138,0.3462680395,-0.0735214185,-0.0128046349,-0.0099419862,0.0962680395,0.0667930993,-0.0365388155,-0.0735214185,-0.5005714881,-0.767941882,0.1058385663,0.3598902488,0.2940856738,Directionnel,HELJAM,irid,HELJAM_Directionnel
88764.8191809546,221.3586513241,864.5700159789,0.153009481,0.1679797795,0.3614034745,0.4434859258,0.1185105461,0.0533930228,19.3054667519,0.672739338,20.7150724533,38436.2177281795,819.7863271362,-0.317724984,3.7034302578,1.1289732749,76.7168261157,517,544,551,-1.0543574542,481,0.134797494,0.3004783041,0.5020929196,0.0626312822,-0.115202506,0.0504783041,0.2520929196,-0.1873687178,-0.1456509601,0.2266546829,-0.115202506,2.1419601448,-0.4040676115,0.2930156392,0.390961259,0.7494748712,Directionnel,HELJAM,irid,HELJAM_Directionnel
67834.2293968163,169.162666825,674.5007137087,0.1103279674,0.124696525,0.4177342511,0.4070072753,0.1047398204,0.0765703196,13.9860970439,0.6868399671,15.8618247573,31037.8598270577,626.2741990785,-0.2893174739,3.7022010284,0.7537840628,58.7236639279,512,543,477,-1.0169658389,481,0.1046803799,0.3651772436,0.455650676,0.0744917005,-0.1453196201,0.1151772436,0.205650676,-0.1755082995,-0.1780078141,0.1667472369,-0.1453196201,2.3888454267,-0.5373220761,0.2839176199,0.4044219286,0.7020331981,Directionnel,HELJAM,irid,HELJAM_Directionnel
39326.9298551078,98.0721442771,377.9270905439,0.1130379022,0.1276198907,0.3286496229,0.4860792285,0.1549233824,0.0831556484,11.8708531125,0.6690592281,8.7088103187,18769.6534124717,346.090533646,-0.2844492865,3.528938173,0.3373050685,30.732853175,523,556,486,-1.2357667883,493,0.1020476937,0.2664376972,0.5445467404,0.0869678687,-0.1479523063,0.0164376972,0.2945467404,-0.1630321313,-0.109902376,0.2601049568,-0.1479523063,1.970573749,-0.4826353649,0.3187836347,0.4888355935,0.6521285252,Directionnel,HELJAM,MAX,HELJAM_Directionnel
10614.9329108225,26.4711543911,44.4229437955,0.1787071424,0.2048975562,0.2558033512,0.2486573976,0.1917405232,0.3239646837,2.4734533428,0.1935804244,0.1713739762,1487.2294747395,26.4630562867,-0.1086019713,0.9996940782,-0.4838998594,0.1713215491,700,300,506,0.6690920855,619,0.1824832534,0.2509459571,0.2737227955,0.2928479939,-0.0675167466,0.0009459571,0.0237227955,0.0428479939,0.0256596523,0.0012910497,-0.0675167466,0.0502719955,-1.2071867472,0.0722398479,0.2674886292,0.2700669862,Directionnel,HELJAM,MIN,HELJAM_Directionnel
